id,user_id,title,body,created_at,expires_at,photos
29fb9e49-2c00-40e1-83a0-0ee41bfe516e,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,TO DO,"IBI in bank 
Send VPN Mme 
Cushion for back and pillow for neck
Check NI payments. Deadline April",2026-01-21 11:07:11.497258+00,,[]
2bd7e90f-0499-472a-bf59-55c549990ec5,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,QUOTES,"""You cannot teach a man anything, you can only help him to find it within himself"". Galileo

""You're only given a small spark of madness, you mustn't lose it"". Robin Williams

""Not by possessing much, but by commanding one's values, does a man become truly wealthy""
F Nietzsche

""There's no greater agony than bearing an untold story inside you"". Angelou Maya",2026-01-22 07:16:48.292812+00,,[]
2f0164c1-bb9b-497e-a5d2-f2bb8ca2586c,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,Facturas pendientes,"2 oboe d'amor reeds. Roseau chantant 
2 last factures de cañas corno/oboe 
Black showes. Life concept. €129.99",2026-03-20 13:56:42.808847+00,,[]
5666ac29-73c9-49db-bea2-ad57abdc8db8,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,Guiding,Narrative of the most remarkable particulars,2026-02-03 19:36:04.852068+00,,[]
57c4ce79-05d6-495d-92a1-7f7b4164343d,44a4274c-a60d-4d1e-9451-d8e45fcf21c5,Hhh,Bjjjjjjj,2026-01-20 22:21:28.529605+00,,[]
5db5602d-0ce5-4b86-a8e9-33798ceade25,44a4274c-a60d-4d1e-9451-d8e45fcf21c5,Hh,"Jjgvhgf
Jbg",2026-01-20 22:20:56.972174+00,,[]
c2313b46-586e-4555-84f7-5ed14150a9bd,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,To do,"Opaef: change bank account and DNI and domiciliar 
Lights 
Lloyds
Cristina
Phone Skipton.. didn't put residential address
Adeslas/bonaderma cancelar
Tour email 
Hairdresser 
Shoes
Ibi, go to bank 
Opaef domicilar and change nie
Change to O2
Lights",2026-02-01 12:15:57.378967+00,,[]
c509d4be-7392-4452-9a27-13b85de0e76f,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,Shopping list,Kitchen roll,2026-01-20 20:42:36.905414+00,,[]
cccdb893-d7b2-457e-9b8a-cbb47e21a5af,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,Wines,Carrasviñas . blanco .€10    8 Rueda 2024,2026-01-28 21:08:57.674694+00,,"[""2ee74b10-973e-4fd7-b8ba-7cd03bb806ef/cccdb893-d7b2-457e-9b8a-cbb47e21a5af/1769634537361-0.jpg""]"
cd8575a8-dc64-4eb6-95ba-bf730f7a4cc1,44a4274c-a60d-4d1e-9451-d8e45fcf21c5,Rrttttt,Yy,2026-01-20 22:23:09.08558+00,,[]
d2f4bbd1-7a2d-442b-abd5-4c1502c57087,44a4274c-a60d-4d1e-9451-d8e45fcf21c5,Jsjd,Jdjd,2026-01-20 22:20:24.3756+00,,[]
f7316fef-33fc-46d3-9dbf-dc210b8043f0,2ee74b10-973e-4fd7-b8ba-7cd03bb806ef,Uk,"Dental sticks 
Hanging tape
HMRC",2026-01-28 23:00:42.239278+00,,[]
